content,hasil_stopword,hasil_stemming
Aplikasi tolol error mulu,['aplikasi'],['aplikasi']
Sekarang jadi ribet apknya ngga se simpel dulu,['ribet'],['ribet']
Sangat membantu utk perjalanan,"['membantu', 'perjalanan']","['bantu', 'jalan']"
Tolong perbaiki aplikasi nya. Kenapa saya mau cek sertifikat vaksin susah sekali. Pas saya uninstall apk trus download lgi pas mau login malah ga bisa-bisa.,"['tolong', 'perbaiki', 'aplikasi', 'sertifikat', 'vaksin', 'susah']","['tolong', 'baik', 'aplikasi', 'sertifikat', 'vaksin', 'susah']"
Akun saya kok tiba tiba keluar dan mau login kembali selalu gagal ya kak,"['akun', 'gagal']","['akun', 'gagal']"
Bagus & bermanfaat,"['bagus', 'bermanfaat']","['bagus', 'manfaat']"
Sangat jelek aplikasi ini..puayah,"['jelek', 'aplikasi']","['jelek', 'aplikasi']"
ga bisa masuk abis update. bikin susah aja.,"['masuk', 'susah']","['masuk', 'susah']"
"Setelah update, malah ga bisa buat cek sertifikat vaksin. Disuruh log in udah log in eh balik lagi ke halaman log in. Gitu terus aja","['sertifikat', 'vaksin', 'disuruh', 'halaman']","['sertifikat', 'vaksin', 'suruh', 'halaman']"
Aplikasi ini banyak bug mohon untuk di tindak lanjuti,"['aplikasi', 'mohon', 'tindak', 'lanjuti']","['aplikasi', 'mohon', 'tindak', 'lanjut']"
"Setelah di update malah logout , mau login lagi susah keterangan waktu abis, Bikin gw depat sama satpam cuman gara2 gini doang, sue lu","['susah', 'keterangan', 'satpam']","['susah', 'terang', 'satpam']"
"Aplikasi yg sangat jelek, dlu bgus semakin diperbarui semakin buk, ad batasan pencarian setifikat vaksin yg hanya 6 kartu perhari, sangat tidak membantu dengan perubahan ini, apalagi belakangan ini susah saat login, klau ad yg terbaru jgn bikin org menjadi SULIT......","['aplikasi', 'jelek', 'diperbarui', 'batasan', 'pencarian', 'vaksin', 'kartu', 'membantu', 'perubahan', 'susah', 'terbaru', 'sulit']","['aplikasi', 'jelek', 'baru', 'batas', 'cari', 'vaksin', 'kartu', 'bantu', 'ubah', 'susah', 'baru', 'sulit']"
Gabisa dibuka hm,['dibuka'],['buka']
Cek sertifikat vaksin belum bisa,"['sertifikat', 'vaksin']","['sertifikat', 'vaksin']"
"Ini knpa aplikasi nya gk bisa masuk woyy,, gua lg butuh buat barcode malah out sendiri dri akun.","['aplikasi', 'masuk', 'butuh', 'akun']","['aplikasi', 'masuk', 'butuh', 'akun']"
Aplikasi bermasalah dan versi website juga bermasalah tidak bisa login,"['aplikasi', 'bermasalah', 'versi', 'website', 'bermasalah']","['aplikasi', 'masalah', 'versi', 'website', 'masalah']"
Setelah up mala ga bisa d buka,['buka'],['buka']
Help doong.....ini kenapa ya diminta update.....udaaaah update....trus diminta login ulang....udaaah tapi kok gagal terusss.....ada apa yaaaa...please help dooong admin.....,['gagal'],['gagal']
"Tidak bisa masuk berkali kali gagal, sudah di uninstal lalu download lagi juga tidak bisa. Tolong diperbaiki! Saya mau cetak sertifikat vaksin booster ini","['masuk', 'berkali', 'gagal', 'tolong', 'diperbaiki', 'cetak', 'sertifikat', 'vaksin', 'booster']","['masuk', 'kali', 'gagal', 'tolong', 'baik', 'cetak', 'sertifikat', 'vaksin', 'booster']"
susah untuk masuk,"['susah', 'masuk']","['susah', 'masuk']"
"Kenapa harini ini gangguan terus gabisa masuk aplikasi , sudah uninstal malah gabisa login sama sekali gimana inii solusinya","['gangguan', 'masuk', 'aplikasi', 'solusinya']","['ganggu', 'masuk', 'aplikasi', 'solusi']"
"Selalu harus update,yang hp full jadi susah harus hapusin aplikasi lain","['susah', 'aplikasi']","['susah', 'aplikasi']"
"Tiba tiba log out, gabisa log in lagi kan aneh",['aneh'],['aneh']
Di update malah jadi eror payah,['payah'],['payah']
Aplikasi gak pernah beres,['aplikasi'],['aplikasi']
"Maaf ini kenapa ya saya tidak bisa login melalui email, hanya loading muter aja lalu muncul tulisan terjadi kesalahan silahkan coba lagi","['maaf', 'email', 'muncul', 'tulisan', 'kesalahan', 'silahkan', 'coba']","['maaf', 'email', 'muncul', 'tulis', 'salah', 'silah', 'coba']"
"Gk bisa login, terjadi kesalahan mulu, padahal jaringan full","['kesalahan', 'jaringan']","['salah', 'jaring']"
setelah di upgrade aplikasinya bukannya tambah bagus malah gak bs login.,"['aplikasinya', 'bagus']","['aplikasi', 'bagus']"
Minta perbarui mulu,['perbarui'],['baru']
mau tanya ada apa aplikasi perduli lindungi versi terbaru setiap kali mau selalu tertulis terjadi kesalahan ada aplikasi ?,"['aplikasi', 'lindungi', 'versi', 'terbaru', 'tertulis', 'kesalahan', 'aplikasi']","['aplikasi', 'lindung', 'versi', 'baru', 'tulis', 'salah', 'aplikasi']"
"Sudah dah positif apapun yang berbau dari pemerintah kualitasnya seperti taik. Wajib aplikasi ini lah itu lah, tapi gak bisa di pake. Gini kok mau 3 periode. Malu sama tanah.","['positif', 'pemerintah', 'kualitasnya', 'wajib', 'aplikasi', 'periode', 'malu', 'tanah']","['positif', 'perintah', 'kualitas', 'wajib', 'aplikasi', 'periode', 'malu', 'tanah']"
Payah selalu keluar,['payah'],['payah']
Setelah di update jadi tidak bisa scan barcode.. Jadi menghambat aktivitas.,"['menghambat', 'aktivitas']","['hambat', 'aktivitas']"
"Ini kenapa yahh, setelah mau diperbaruigak bisa mulu. Jadi aku coba uninstall ehh malah login nya gak bisa mulu, bikin susah kalo mau kemana2 nihh","['coba', 'susah']","['coba', 'susah']"
Ini sebabnya bukan orang yang profesional dibidangnya disuruh ngelola,"['profesional', 'dibidangnya', 'disuruh']","['profesional', 'bidang', 'suruh']"
"Kepaksa downlod cuman buat sarat kerja doang, mau persi lama atau baru ttp aja cuman formalitas menuh menuhin hp doang","['kepaksa', 'sarat', 'kerja', 'formalitas']","['paksa', 'sarat', 'kerja', 'formalitas']"
"Aplikasi cacat, di buka gak bisa. Giliran di hapus download lgi bisa di buka tapi gak bisa login. Untung ada KAI Acces lebih ngertiin bisa keliatan, hampir ketinggalan kereta gara-gara sertifikat vaksin INI aplikasi cacat.","['aplikasi', 'cacat', 'buka', 'giliran', 'hapus', 'buka', 'kai', 'ngertiin', 'ketinggalan', 'kereta', 'sertifikat', 'vaksin', 'aplikasi', 'cacat']","['aplikasi', 'cacat', 'buka', 'gilir', 'hapus', 'buka', 'kai', 'ngertiin', 'tinggal', 'kereta', 'sertifikat', 'vaksin', 'aplikasi', 'cacat']"
JelekL Lambat,['lambat'],['lambat']
Perbaikiiii! Saya tidak bisa login dan melihat sertifikat vaksinasi.,"['sertifikat', 'vaksinasi']","['sertifikat', 'vaksinasi']"
Susah masuk skrng ya .,"['susah', 'masuk']","['susah', 'masuk']"
Aplikasi apa sih...kemanapun harus scan dan sebagainy tapi aplikasiny susah dibuka...mempersulit aktivitas aja,"['aplikasi', 'susah', 'aktivitas']","['aplikasi', 'susah', 'aktivitas']"
Apakah aplikasi ini bisa lindungi data Pribadi ?,"['aplikasi', 'lindungi', 'data', 'pribadi']","['aplikasi', 'lindung', 'data', 'pribadi']"
Eror lemot lama masuknya,['masuknya'],['masuk']
aplikasi harus di perbarui terus,"['aplikasi', 'perbarui']","['aplikasi', 'baru']"
"Sekiranya blm siap bikin aplikasi, blm siap meluncurkan pembaruan, & blm siap mental, jgn begini caranya. Klo gk berguna, mininal jgn nyusahin org byk deh.","['aplikasi', 'meluncurkan', 'pembaruan', 'mental', 'berguna']","['aplikasi', 'luncur', 'baru', 'mental', 'guna']"
tingkatkan pelayanan lebih baik lagi,"['tingkatkan', 'pelayanan']","['tingkat', 'layan']"
Ni aplikasi makin hari kok makin eror....sy mau masuk ke aplikasi saja susahnya minta ampun terjadi kesalahan terus.....gmna masyarakat mau percaya....,"['aplikasi', 'masuk', 'aplikasi', 'susahnya', 'ampun', 'kesalahan', 'masyarakat', 'percaya']","['aplikasi', 'masuk', 'aplikasi', 'susah', 'ampun', 'salah', 'masyarakat', 'percaya']"
"Gabisa kebuka error , login gabisa",['kebuka'],['buka']
Setelah di update gak bisa dibuka,['dibuka'],['buka']
"Baru coba instal karena perlu & diharuskan menggunakan aplikasi ini, tapi setelah 2hari mencoba sign up/daftar baru selalu gagal (terjadi kesalahan teknis).. hadeeeuuh plat merah oh plat merah,kok kelas negara kalah dengan kelas login minimarket","['coba', 'instal', 'diharuskan', 'aplikasi', 'mencoba', 'gagal', 'kesalahan', 'teknis', 'merah', 'kelas', 'negara', 'kalah', 'kelas']","['coba', 'instal', 'harus', 'aplikasi', 'coba', 'gagal', 'salah', 'teknis', 'merah', 'kelas', 'negara', 'kalah', 'kelas']"
"Aplikasinya bagus sebenarnya tapi kenapa pas masuk lagi gk bisa ya ,selalu bilang terjadi kesalahan,silakan coba lagi Udah di coba ulang2 tapi bisa masuk","['aplikasinya', 'bagus', 'masuk', 'bilang', 'coba', 'coba', 'ulang', 'masuk']","['aplikasi', 'bagus', 'masuk', 'bilang', 'coba', 'coba', 'ulang', 'masuk']"
Tidak bisa daftar akun,"['daftar', 'akun']","['daftar', 'akun']"
Saya pikir di update tambah mudah ternyata tambah sulit tolong jangn di persulit kami,"['pikir', 'mudah', 'sulit', 'tolong', 'persulit']","['pikir', 'mudah', 'sulit', 'tolong', 'sulit']"
"Baru saja update langsung gk bisa masuk kenapa sih selalu berulah setiap update,,,,,,,,,","['langsung', 'masuk']","['langsung', 'masuk']"
"Aplikasi cacat, sering errornya daripada kepakenya","['aplikasi', 'cacat']","['aplikasi', 'cacat']"
"Loading lama, jika belum bisa buat aplikasi jangan buat aplikasi.","['aplikasi', 'aplikasi']","['aplikasi', 'aplikasi']"
aplikasi anehhh dan lemot,['aplikasi'],['aplikasi']
Lambat,['lambat'],['lambat']
Aplikasi gak bisa dibuka mulu sedangkan mau naik kereta sama pesawat harus scan terus ... Coba dong di perbaiki lagi aplikasi nya,"['aplikasi', 'dibuka', 'kereta', 'pesawat', 'coba', 'perbaiki', 'aplikasi']","['aplikasi', 'buka', 'kereta', 'pesawat', 'coba', 'baik', 'aplikasi']"
"Aplikasinya ga bisa di buka2 padahal udah di uninstall trs install lagi masih ttp kaga bisa,gmn ini saya mau masuk ke gedung kantor ga bisa2, boleh penjelasan nya ya...","['aplikasinya', 'buka', 'masuk', 'gedung', 'kantor', 'penjelasan']","['aplikasi', 'buka', 'masuk', 'gedung', 'kantor', 'jelas']"
"Aplikasi susah di buka, padahal sering ku update, daftar juga susah, ngisi tgl lahirnya terlalu panjang, kurang simpel,","['aplikasi', 'susah', 'buka', 'daftar', 'susah', 'lahirnya']","['aplikasi', 'susah', 'buka', 'daftar', 'susah', 'lahir']"
Tolong segera di perbaiki. Setelah di upgrade ko ga bisa login sama sekali. Gimana mau di pakai kalau kayak gini.,"['tolong', 'perbaiki', 'pakai']","['tolong', 'baik', 'pakai']"
"ko sekarang mau login aja susah yaa anehh ni aplikasi, tolong di perbaiki 🙏","['susah', 'aplikasi', 'tolong', 'perbaiki']","['susah', 'aplikasi', 'tolong', 'baik']"
Tidak memudahkan bagi pengguna yang ingin merubah data diri. Pengubahan data diri tidak bisa dilakukan secara mandiri.,"['memudahkan', 'pengguna', 'merubah', 'data', 'pengubahan', 'data', 'mandiri']","['mudah', 'guna', 'rubah', 'data', 'ubah', 'data', 'mandiri']"
"Aplikasi tidak membantu... minta perubahan/update versi makin susah digunakan, lemott walau udah pake kartu sim yg top sekalipun","['aplikasi', 'membantu', 'versi', 'susah', 'kartu', 'top']","['aplikasi', 'bantu', 'versi', 'susah', 'kartu', 'top']"
"Saya coba log in dari 2 hp ga bisa trus, gmn saya jd ga bs masuk kemana-mana dong?","['coba', 'masuk']","['coba', 'masuk']"
Aplikasi yang sangat rumit dibuat login saja tidak bisa diweb nya juga sama,"['aplikasi', 'rumit']","['aplikasi', 'rumit']"
"Aplikasinya susah dipakai log in. Apa karena covid sudah tidak henoh, jadi kurang diperhatikan","['aplikasinya', 'susah', 'dipakai', 'covid', 'diperhatikan']","['aplikasi', 'susah', 'pakai', 'covid', 'perhati']"
"Gagal Mulu mau login gangguan, bikin emosi aja aplikasinya","['gagal', 'gangguan', 'emosi', 'aplikasinya']","['gagal', 'ganggu', 'emosi', 'aplikasi']"
bagus di permudah tapi setelah ada notifikasi pertukaran data jadinya ga bisa masuk,"['bagus', 'permudah', 'notifikasi', 'pertukaran', 'data', 'masuk']","['bagus', 'mudah', 'notifikasi', 'tukar', 'data', 'masuk']"
Bagus sekali,['bagus'],['bagus']
Mantap,['mantap'],['mantap']
"Tambah ribet. Dan gak jelas... Mau lihat riwayat vaksin aja susahnya minta ampun. Mau Lihat profil malah yang keluar akses pertukaran data yang gak jelas, lemotnya minta ampun... Padahal mau dipakai buat beli tiket perjalanan.. ini gmn mau jalan, aplikasi negara kok kayak gini...","['ribet', 'lihat', 'riwayat', 'vaksin', 'susahnya', 'ampun', 'lihat', 'profil', 'akses', 'pertukaran', 'data', 'lemotnya', 'ampun', 'dipakai', 'beli', 'tiket', 'perjalanan', 'jalan', 'aplikasi', 'negara']","['ribet', 'lihat', 'riwayat', 'vaksin', 'susah', 'ampun', 'lihat', 'profil', 'akses', 'tukar', 'data', 'lot', 'ampun', 'pakai', 'beli', 'tiket', 'jalan', 'jalan', 'aplikasi', 'negara']"
Punya aku kesalahan terus eror pas mau login 😭,['kesalahan'],['salah']
Habis di update malah perbaikan sistem gak bisa digunakan apl,"['habis', 'perbaikan', 'sistem']","['habis', 'baik', 'sistem']"
Error terus jaringan padahal bagus.,"['jaringan', 'bagus']","['jaring', 'bagus']"
Woi aplikasi ngapa jadi kluar smua.. Klo bisa login lg sih gpp,['aplikasi'],['aplikasi']
Permisi kak ini saya gk bisa login habis booster,"['permisi', 'habis', 'booster']","['permisi', 'habis', 'booster']"
Semalem masih bisa tapi pas buka sekarang gak bisa malah kembali LG ke awal harus daftar ulang LG,"['buka', 'daftar', 'ulang']","['buka', 'daftar', 'ulang']"
"aplikasinya ngelag. masa pas buka nyangkut dihalaman depan terus😏 ini mah bukannya memudahkan, malah menyulitkan.","['aplikasinya', 'buka', 'dihalaman', 'memudahkan', 'menyulitkan']","['aplikasi', 'buka', 'halaman', 'mudah', 'sulit']"
"kok nggak bisa dibuka ya dari semalem cuman tulisan pedulilindungi saja,","['dibuka', 'tulisan', 'pedulilindungi']","['buka', 'tulis', 'pedulilindungi']"
"Lemot, wifi udah kenceng, udah gonta ganti jaringan, masih aja tiap ngecek profile ga kebuka, ngecek tiket booster jadi ga bisa, padahal seminggu lagi mau berangkat, ampas banget aplikasi yang notabenenya wajib dipake buat semua masyarakat","['ganti', 'jaringan', 'kebuka', 'tiket', 'booster', 'seminggu', 'berangkat', 'aplikasi', 'wajib', 'masyarakat']","['ganti', 'jaring', 'buka', 'tiket', 'booster', 'minggu', 'berangkat', 'aplikasi', 'wajib', 'masyarakat']"
Kenapa pgi ini tidk bisa di akses ya ..,['akses'],['akses']
"Katanya suruh di perbaharui setelah diperbaharui GK bisa masuk2, tolong kebijakannya","['suruh', 'perbaharui', 'diperbaharui', 'masuk', 'tolong', 'kebijakannya']","['suruh', 'baharu', 'baharu', 'masuk', 'tolong', 'bijak']"
Di perbaharui malah ga bisa scan parah,"['perbaharui', 'parah']","['baharu', 'parah']"
Membantu,['membantu'],['bantu']
Bagus,['bagus'],['bagus']
Aplikasinya Error,['aplikasinya'],['aplikasi']
"Saya sudah vaksin ke 3 (Boster) tapi kenapa sertifikat vaksin belum muncul juga di aplikasi sampai hari ini,sudah hampir 2 bulan.","['vaksin', 'boster', 'sertifikat', 'vaksin', 'muncul', 'aplikasi']","['vaksin', 'boster', 'sertifikat', 'vaksin', 'muncul', 'aplikasi']"
update terbaru kok tambah ruwet,"['terbaru', 'ruwet']","['baru', 'ruwet']"
"setelah di update malah gabisa dibuka ,gabisa login juga malah jadi nyusahin ,pdahal smua instansi menggunakan aplikasi ini,kalo ga bisa login /di buka gimana dong","['dibuka', 'instansi', 'aplikasi', 'buka']","['buka', 'instansi', 'aplikasi', 'buka']"
Merasa penanganan obat BPJS yg iuran bulanan 100 ribu sama rendah nya dengan mereka yang iuran bulanan lebih kecil,"['penanganan', 'obat', 'bpjs', 'iuran', 'rendah', 'iuran']","['tangan', 'obat', 'bpjs', 'iur', 'rendah', 'iur']"
Jelek,['jelek'],['jelek']
"mantap habis di update buat login ajh susah, sekalinya masuk chek in gk bsa. pdhal sblum di update lancar"" ajah...","['mantap', 'habis', 'susah', 'sekalinya', 'masuk', 'lancar']","['mantap', 'habis', 'susah', 'sekali', 'masuk', 'lancar']"
"Pas diupdate aplikasi nya makin gajelas , susah login sertifikat nya keluar terus ,makin ribet","['aplikasi', 'susah', 'sertifikat', 'ribet']","['aplikasi', 'susah', 'sertifikat', 'ribet']"
Di update bukannya bagus malah log out dan gak bisa buat masuk ke akun nya lagi..,"['bagus', 'masuk', 'akun']","['bagus', 'masuk', 'akun']"
Gak dia update gak bisa di buka di update pun sama,['buka'],['buka']
Setelah update jadi susah masuk bukanya makin bagus malah makin jelek.....,"['susah', 'masuk', 'bukanya', 'bagus', 'jelek']","['susah', 'masuk', 'buka', 'bagus', 'jelek']"
"Akun saya tdk bs dibuka setelah di update. Notifikasinya ""terjadi kesalahan"" Sudah uninstall dan install ulang, msh tdk bisa 😭","['akun', 'dibuka', 'notifikasinya', 'kesalahan', 'ulang']","['akun', 'buka', 'notifikasi', 'salah', 'ulang']"
susah banget buat loginnya,['susah'],['susah']
"Sudah vaksin tapi sertfikat belum jadi, masyarakat di paksa untuk vaksin tapi pelayanan tidak memuaskan, penginputan data sertifikat vaksin lama, ini mereka kerjanya ngapain aja ya? Padahal sertifikat vaksin saya butuhkan untuk perjalanan. Tolong di perbaiki lagi untuk kedepanya !","['vaksin', 'masyarakat', 'paksa', 'vaksin', 'pelayanan', 'memuaskan', 'data', 'sertifikat', 'vaksin', 'kerjanya', 'sertifikat', 'vaksin', 'butuhkan', 'perjalanan', 'tolong', 'perbaiki']","['vaksin', 'masyarakat', 'paksa', 'vaksin', 'layan', 'muas', 'data', 'sertifikat', 'vaksin', 'kerja', 'sertifikat', 'vaksin', 'butuh', 'jalan', 'tolong', 'baik']"
"Abis di update cek sertifikat suruh relogin , alhasil stuck pas login","['sertifikat', 'suruh']","['sertifikat', 'suruh']"
"Sekarang malah susah utk cetak sertifikat, Dialihkan ke menu login, tpi tidak bisa login padahal nomor hp / email sdh benar","['susah', 'cetak', 'sertifikat', 'dialihkan', 'menu', 'email']","['susah', 'cetak', 'sertifikat', 'alih', 'menu', 'email']"
"Aplikasi cacatttttttttt, gak bisa buat scannnnn di tunggu banyak orang sampe gak jadi masuk ke tempat","['aplikasi', 'tunggu', 'masuk']","['aplikasi', 'tunggu', 'masuk']"
"maksa bet update tai, org mo buru²",['maksa'],['maksa']
Aplikasi ngak bisa di gunakan untuk cek in,['aplikasi'],['aplikasi']
"Apknya gimana si gak buka sama sekali, mau cek sertifikat saja gak bisa sama sekali sering keluar dri apk sendiri","['buka', 'sertifikat']","['buka', 'sertifikat']"
"App nya selalu berulah, kadang mau scan malah gabisa masuk ke app nya, di uninstall baru bisa, sekarang malah disuruh login lagi, tapi pas login pake no hp malah terjasi kesalahan. Gimana sih, ga jelas banget app nya🙄","['masuk', 'disuruh', 'kesalahan']","['masuk', 'suruh', 'salah']"
Kenapa akun pedulilindungi saya tiba tuba log out sendiri dan tidak bisa log in ulang mohon bantuanya,"['akun', 'pedulilindungi', 'ulang', 'mohon']","['akun', 'pedulilindungi', 'ulang', 'mohon']"
Setelah update jadi ribet aplikasinya ngga kayak sebelumnya,"['ribet', 'aplikasinya']","['ribet', 'aplikasi']"
Gak bisa masuk habis update. Coba deh kalian cek vaksin bisa gak tuh?,"['masuk', 'habis', 'coba', 'vaksin']","['masuk', 'habis', 'coba', 'vaksin']"
Semakin diperbaharui semakin buruk peforma nya..,"['diperbaharui', 'buruk', 'peforma']","['baharu', 'buruk', 'forma']"
"Aplikasi buruk, tidak bisa daftar tidak bisa login paraaaaahhh","['aplikasi', 'buruk', 'daftar']","['aplikasi', 'buruk', 'daftar']"
"Tolong dong di perbaiki padahal quota ada tpi giliran buka appnya lama bgt, buat scan qr code gak bisa², jadinya menghambat kita yg lagi buru². Tolong dong di perbaiki, minta di update terus tpi gak ada kemajuan² appnya","['tolong', 'perbaiki', 'giliran', 'buka', 'menghambat', 'tolong', 'perbaiki', 'kemajuan']","['tolong', 'baik', 'gilir', 'buka', 'hambat', 'tolong', 'baik', 'maju']"
Setelah di-update malah logout dan tidak bisa login. Tolonglah diperbaiki. Jangan menyusahkan pengguna.,"['tolonglah', 'diperbaiki', 'menyusahkan', 'pengguna']","['tolong', 'baik', 'susah', 'guna']"
Setelah di upgrade malah Lolak bnget Ga bisa liat sertifikat vaksin Padahal udh di login pake no hp dan email tpi ttp Balik ke halaman yg sama Gimna sih,"['sertifikat', 'vaksin', 'email', 'halaman']","['sertifikat', 'vaksin', 'email', 'halaman']"
Mempersulit orang,['mempersulit'],['sulit']
"Maaf gak bisa buka buka aplikasi nya, gue uninstall ulang malah gak bisa login.. Gmn sih","['maaf', 'buka', 'buka', 'aplikasi', 'ulang']","['maaf', 'buka', 'buka', 'aplikasi', 'ulang']"
Aplikasi error' terlalu lama dan berat,"['aplikasi', 'berat']","['aplikasi', 'berat']"
Lahhh kok log out sendiri aplikasinya.. Disuruh login masukin no hp yg terdaftar ehh malah kaga bisa2..tolong dibenerin napa.,"['aplikasinya', 'disuruh', 'masukin', 'terdaftar']","['aplikasi', 'suruh', 'masukin', 'daftar']"
Gk bisa login error mulu cek sertifikat jga gk bisa,['sertifikat'],['sertifikat']
Aplikasi bangsattttt Pas mau di buka malah gak bisa kebukaa Anjinggg Ngapain adain kaya gini kalau aplikasi gak standbay,"['aplikasi', 'buka', 'aplikasi']","['aplikasi', 'buka', 'aplikasi']"
Lemot dan sulit masuk,"['sulit', 'masuk']","['sulit', 'masuk']"
"sering eror, solusinya cuma re-instal",['solusinya'],['solusi']
Knp cek akun kok tdk bisa,['akun'],['akun']
Baru kali ini kasih rating jelek,"['kasih', 'rating', 'jelek']","['kasih', 'rating', 'jelek']"
"Ngga bisa di buka,,,tolong perbaiki bug nya,,,",['perbaiki'],['baik']
Lambat saat di buka aplikasinya,"['lambat', 'buka', 'aplikasinya']","['lambat', 'buka', 'aplikasi']"
"Kinerja aplikasi nya menurun, sangat lambat saat membuka menu. Mohon di perbaiki kembali agar tidak lemot","['kinerja', 'aplikasi', 'menurun', 'lambat', 'membuka', 'menu', 'mohon', 'perbaiki']","['kerja', 'aplikasi', 'turun', 'lambat', 'buka', 'menu', 'mohon', 'baik']"
"Mo login gagal trus,gmn donk",['gagal'],['gagal']
"Aplikasi apaan ini. Seluruh rakyat diwajibkan pakai, tapi tak pernah bisa login. Kalau belum siap secara teknisnya kenapa juga harus dipaksakan. Becus kerja ga sih","['aplikasi', 'rakyat', 'diwajibkan', 'pakai', 'teknisnya', 'dipaksakan', 'kerja']","['aplikasi', 'rakyat', 'wajib', 'pakai', 'teknis', 'paksa', 'kerja']"
Susah buat masuk ke akun,"['susah', 'masuk', 'akun']","['susah', 'masuk', 'akun']"
Mantap,['mantap'],['mantap']
Makin kesini makin ngaco aja nih aplikasi.,['aplikasi'],['aplikasi']
Kurang profesional,['profesional'],['profesional']
"Susah banget pakainya, udah rumit banget masuknya. Giliran di up date malah ga bisa scan barcode, klo ga di up date ga bisa masuk, gimana sih! Giliran di uninstall ga bisa masuk lagi...","['susah', 'pakainya', 'rumit', 'masuknya', 'giliran', 'masuk', 'giliran', 'masuk']","['susah', 'pakai', 'rumit', 'masuk', 'gilir', 'masuk', 'gilir', 'masuk']"
Jaringan ga jelas mau scan aja bnyk bacot dulu najis,['jaringan'],['jaring']
Hp gw ga kentang kentang bat tapi ini kenapa lemot bat dah mana pagi pagi lagi,"['pagi', 'pagi']","['pagi', 'pagi']"
"Sudah di uninstal trs download lagi ttp gabisa daftar,padahal data sudah bener. Tolong perbaiki lah sistemnya.","['data', 'tolong', 'perbaiki', 'sistemnya']","['data', 'tolong', 'baik', 'sistem']"
Aplikasi nya habis di update malah ga bisa login,"['aplikasi', 'habis']","['aplikasi', 'habis']"
Mau cek sertifikat vaksin tp dialihkan ke web dan disuruh login tp gabisa. Jelas2 akun kita udah login.,"['sertifikat', 'vaksin', 'dialihkan', 'web', 'disuruh', 'akun']","['sertifikat', 'vaksin', 'alih', 'web', 'suruh', 'akun']"
"Setelah update, kenapa jadi tidak bisa membuka menu sertifikat vaksin","['membuka', 'menu', 'sertifikat', 'vaksin']","['buka', 'menu', 'sertifikat', 'vaksin']"
"Abis di perbarui malah susah buat scan ,, bukannya makin maksimal malah makin jelek","['perbarui', 'susah', 'maksimal', 'jelek']","['baru', 'susah', 'maksimal', 'jelek']"
ahh kok rusak,['rusak'],['rusak']
Aplikasi mempersulit masyarakat,"['aplikasi', 'mempersulit', 'masyarakat']","['aplikasi', 'sulit', 'masyarakat']"
bagus lancar,"['bagus', 'lancar']","['bagus', 'lancar']"
stlh di update kok malah jd gk bs buka sertifikat vaksinnya ya?,"['buka', 'sertifikat', 'vaksinnya']","['buka', 'sertifikat', 'vaksin']"
App berulah tidak dpt diakses,['diakses'],['akses']
Payah,['payah'],['payah']
Habis update jadi bosok,['habis'],['habis']
Cepat dan ok banget,['cepat'],['cepat']
pembaharuan terus,['pembaharuan'],['baharu']
"Kenapa tb2 ke log out sendiri? Udh gitu pas mau login lg gabisa,udh pake sinyal internet biasa jg gabisa","['sinyal', 'internet']","['sinyal', 'internet']"
"Setelah update aplikasi tdk bisa dipakai, PERBAIKI !!!","['aplikasi', 'dipakai', 'perbaiki']","['aplikasi', 'pakai', 'baik']"
Bagus,['bagus'],['bagus']
Di update bukannya hilang bug nya malah nambah g bsa scan QR lebih gampang versi sebelumnya,"['hilang', 'nambah', 'gampang', 'versi']","['hilang', 'nambah', 'gampang', 'versi']"
kebayakan booting mulu,['kebayakan'],['kebaya']
Update yg sangat mempersulit hidup percuma kebanyakan erornya.....,"['mempersulit', 'hidup']","['sulit', 'hidup']"
Servernya ngelag sedangkan buka webtoon lancar jaya.,"['servernya', 'buka', 'lancar', 'jaya']","['servernya', 'buka', 'lancar', 'jaya']"
Sangat membantu,['membantu'],['bantu']
"Setelah diperbarui , aplikasinya malah jadi lemot dan ga bisa masuk ke akunnya","['diperbarui', 'aplikasinya', 'masuk', 'akunnya']","['baru', 'aplikasi', 'masuk', 'akun']"
"Ini kenapa ya sudah diperbarui kok makin lag wkwk, internet juga kenceng tapi masih aja lag bagian scan","['diperbarui', 'internet']","['baru', 'internet']"
sangat membantu.,['membantu'],['bantu']
Kok aplikasi saya tiba tiba log out sendiri pas mau login gagal melulu Ini kenapa ya padahal ngisi email dan no hp bener lho,"['aplikasi', 'gagal', 'email']","['aplikasi', 'gagal', 'email']"
Mau cek sertifikat vaksin kok sulit ya? Kasihan yg sedang perjalanan dan buru-buru.,"['sertifikat', 'vaksin', 'sulit', 'kasihan', 'perjalanan']","['sertifikat', 'vaksin', 'sulit', 'kasihan', 'jalan']"
Aplikasinya ngeselin...sekedar buka sertifikat vaksin aja musti muter2 minimal 4x klik...akal2an,"['aplikasinya', 'buka', 'sertifikat', 'vaksin', 'minimal']","['aplikasi', 'buka', 'sertifikat', 'vaksin', 'minimal']"
"Kenapa setelah di update malah gk bisa login, tolong segera di perbaiki.","['tolong', 'perbaiki']","['tolong', 'baik']"
